,,금정동,59,122,194739.437,428953.014
,,대야동,59,122,192616.678,425057.522
,,산본1동,59,122,194672.842,429838.480
,,산본2동,59,122,194158.077,429468.573
,,송부동,59,121,193177.941,423809.373
,,수리동,59,122,193122.313,427917.429
,,오금동,59,122,193875.729,427361.897
,,재궁동,59,122,194720.976,428191.847
,김포시,,55,128,175015.009,456725.771
,,고촌읍,56,127,179868.783,455758.997
,,구래동,54,128,166725.094,460529.219
,,김포본동,55,128,174133.375,458080.444
,,대곶면,53,128,163213.855,460533.634
,,마산동,54,128,168497.457,459945.471
,,사우동,55,128,175136.066,457178.314
,,양촌읍,54,129,166875.937,461749.825
,,운양동,55,129,172021.673,461086.630
,,월곶면,53,130,160668.201,468081.677
,,장기동,55,128,170925.319,459766.164
,,장기본동,55,128,171159.246,460866.082
,,통진읍,53,129,164597.481,465254.089
,,풍무동,55,127,175729.720,455565.615
,,하성면,54,130,167605.673,468396.403
,남양주시,,64,128,219232.267,459009.109
,,금곡동,64,128,218284.804,458574.733
,,다산1동,63,128,214154.298,455808.299
,,다산2동,63,128,214997.412,456050.243
,,별내동,62,128,210689.010,460434.901
,,별내면,62,129,210570.078,462127.079
,,수동면,66,130,228880.590,466540.693
,,양정동,63,128,216645.396,456822.581
,,오남읍,64,130,218160.780,465998.931
,,와부읍,64,127,218774.215,453661.055
,,조안면,65,126,226939.678,447918.906
,,진건읍,63,129,215954.751,461329.352
,,진접읍,63,130,216858.167,469041.731
,,퇴계원읍,63,128,212882.425,460484.848
,,평내동,64,128,220953.963,460402.807
,,호평동,64,129,222095.576,461077.253
,,화도읍,65,129,227364.741,460856.706
,동두천시,,61,134,205444.958,488706.229
,,보산동,61,134,205512.357,490259.298
,,불현동,61,134,205622.215,488138.722
,,상패동,61,134,204048.604,488959.820
,,생연1동,61,134,205936.218,489125.570
,,생연2동,61,134,204429.967,488475.016
,,소요동,61,135,205140.285,491567.592
,,송내동,61,134,204916.391,487223.492
,,중앙동,61,134,204798.747,489158.151
,부천시,,56,125,179242.299,444630.830
,,대산동,56,125,180572.936,441968.156
,,범안동,57,125,183044.650,441486.683
,,부천동,57,125,181414.249,443294.695
,,상동,56,125,178378.970,443984.371
,,성곡동,57,126,182710.631,445770.018
,,소사본동,57,125,182043.591,442010.976
,,신중동,56,125,179122.096,444593.208
,,심곡동,57,125,181278.844,442516.844
,,오정동,57,126,181729.639,447152.726
,,중동,56,125,179617.424,442568.570
,성남시분당구,,62,123,210651.211,430890.487
,,구미1동,62,122,209835.302,427492.833
,,구미동,62,122,210835.433,426094.575
,,금곡동,62,122,209417.653,427745.643
,,백현동,62,123,209748.595,431839.414
,,분당동,63,122,211731.963,429483.922
,,삼평동,62,123,210237.519,433786.997
,,서현1동,62,123,211259.645,430875.856
,,서현2동,63,123,212038.122,430140.404
,,수내1동,62,123,210573.502,430070.632
,,수내2동,62,122,210822.929,429734.595
,,수내3동,62,122,211296.176,429118.619
,,야탑1동,63,123,211647.578,434137.545
,,야탑2동,62,123,211391.223,433844.314
,,야탑3동,63,123,212329.730,434003.474
,,운중동,62,123,207049.572,432226.610
,,이매1동,62,123,211377.192,432752.614
,,이매2동,62,123,210911.572,432753.853
,,정자1동,62,122,209995.628,428524.450
,,정자2동,62,122,210325.036,429021.814
,,정자3동,62,122,210708.654,428448.242
,,정자동,62,122,209814.394,428834.076
,,판교동,62,123,209073.062,430808.504
,성남시수정구,,63,124,213004.471,438387.877
,,고등동,62,124,209107.085,435579.437
,,단대동,63,124,213862.961,438297.675
,,복정동,62,124,211371.308,440075.936
,,산성동,63,124,213405.271,438608.320
,,수진1동,63,124,212421.624,437080.736
,,수진2동,62,124,211505.057,436953.040
,,시흥동,62,124,209690.950,435244.961
,,신촌동,62,124,209358.203,438870.800
,,신흥1동,63,124,212612.387,437582.313
,,신흥2동,63,124,213019.745,438206.003
,,신흥3동,63,124,213303.562,437638.248
,,양지동,63,124,214365.588,438902.783
,,위례동,63,125,213172.142,440690.457
,,태평1동,62,124,211290.443,437316.236
,,태평2동,63,124,212392.605,438095.615
,,태평3동,63,124,211881.670,437845.161
,,태평4동,63,124,212628.292,438126.177
,성남시중원구,,63,124,212273.202,436186.761
,,금광1동,63,124,214493.310,437806.994
,,금광2동,63,124,214634.664,437944.431
,,도촌동,63,123,213534.076,434914.792
,,상대원1동,63,124,214662.490,436499.787
,,상대원2동,63,124,214128.669,437125.651
,,상대원3동,63,124,214756.877,437216.748
,,성남동,63,124,211751.748,436342.021
,,은행1동,63,124,215063.943,438586.142
,,은행2동,63,124,214867.548,439146.593
,,중앙동,63,124,213868.075,437998.963
,,하대원동,63,124,213074.119,435945.019
,수원시권선구,,60,120,197632.389,416984.977
,,곡선동,61,120,203075.361,415392.774
,,구운동,60,120,197588.952,419161.514
,,권선1동,61,120,203212.607,416879.081
,,권선2동,61,120,202751.708,416292.254
,,금곡동,59,120,195691.184,418984.270
,,서둔동,60,120,198876.632,418648.528
,,세류1동,60,120,200824.369,417497.913
,,세류2동,61,120,201274.697,416516.676
,,세류3동,61,120,201177.277,417149.581
,,입북동,60,121,196538.973,420946.290
,,평동,60,120,199589.300,417032.702
,,호매실동,60,120,196126.029,418260.997
,수원시영통구,,61,120,204246.755,417160.677
,,광교1동,61,121,204156.015,420925.162
,,광교2동,62,121,206150.766,421145.538
,,망포1동,61,120,205158.022,415108.851
,,망포2동,61,120,204310.262,415207.723
,,매탄1동,61,120,203707.788,418416.713
,,매탄2동,61,120,204323.042,418374.757
,,매탄3동,61,120,203938.109,416878.449
,,매탄4동,61,120,204437.646,417822.051
,,영통1동,62,120,207263.323,417955.597
,,영통2동,61,120,205115.957,415800.972
,,영통3동,62,120,206755.311,416769.701
,,원천동,61,120,205212.763,418775.095
,수원시장안구,,60,121,201016.117,422120.742
,,송죽동,60,121,200745.972,421749.537
,,연무동,61,121,202031.115,420645.731
,,영화동,61,121,201363.046,420933.863
,,율천동,60,121,197589.654,421428.373
,,정자1동,60,121,199345.089,421940.393
,,정자2동,60,121,200164.970,421152.359
,,정자3동,60,121,199725.319,421317.924
,,조원1동,61,121,201572.501,421896.071
,,조원2동,60,121,200980.388,422318.045
,,파장동,60,121,199656.437,422628.165
,수원시팔달구,,61,121,203287.553,420133.722
,,고등동,60,120,200217.935,418732.280
,,매교동,61,120,201375.994,418199.331
,,매산동,60,120,200622.270,418222.688
,,우만1동,61,121,202721.733,420070.949
,,우만2동,61,120,203644.370,419247.527
,,인계동,61,120,202006.967,418407.848
,,지동,61,120,202639.317,419701.593
